Fecha,Temperatura media (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad (%),Precipitación (mm),Índice de calor (°C)
17/4/2022,"21,84","28,6","18,3","87,92","2,6","23,17"
18/4/2022,"22,07","29,6","18,8","85,67","7,6","23,3"
19/4/2022,"20,87","24,2","18,7","91,17","12,2","21,98"
20/4/2022,"21,58","26,9","18,7","83,58",0,"22,52"
21/4/2022,"21,93","28,8","18,9",84,"10,6","23,08"
22/4/2022,"21,22","27,2","18,5","86,67","15,2","22,23"
23/4/2022,"22,93","29,6","18,8","80,67",1,"24,07"
24/4/2022,"23,07","28,9","19,8","79,25",0,"24,18"
25/4/2022,"21,19","23,2","19,4","91,75",14,"22,39"
26/4/2022,"22,61","28,2","18,4","84,08",0,"23,81"
27/4/2022,"22,93",29,"19,5","82,58",0,"24,18"
28/4/2022,"20,23","23,1","18,3","92,5","9,4","21,34"
29/4/2022,"22,03","28,3","17,3","83,83",0,"23,21"
30/4/2022,"23,42","29,5","18,8","79,5",0,"24,72"
1/5/2022,"23,63","28,1",20,"77,67",0,"24,76"
2/5/2022,"23,65","30,9","18,1","76,25",0,"24,89"
3/5/2022,"24,84","32,4",19,"72,75",0,"26,25"
4/5/2022,"24,53","30,3","20,8","77,33",0,"26,1"
5/5/2022,"22,32","23,8",21,"86,33","1,2","23,42"
